model,experiment,subject,accuracy,precision,recall,f1
svm,chest_statistical,S13,0.9696969696969697,0.9583333333333334,0.9583333333333334,0.9583333333333334
svm,chest_statistical,S14,0.9375,0.8571428571428571,1.0,0.9230769230769231
svm,chest_statistical,S15,0.8484848484848485,1.0,0.6,0.75
svm,chest_statistical,S16,0.9846153846153847,0.96,1.0,0.9795918367346939
svm,chest_statistical,S17,1.0,1.0,1.0,1.0
svm,wrist_acc,S2,0.9682539682539683,0.92,1.0,0.9583333333333334
svm,wrist_acc,S3,0.984375,0.96,1.0,0.9795918367346939
svm,wrist_acc,S4,0.9682539682539683,1.0,0.9130434782608695,0.9545454545454546
svm,wrist_acc,S5,0.84375,0.76,0.8260869565217391,0.7916666666666666
svm,wrist_acc,S6,0.8153846153846154,0.9285714285714286,0.5416666666666666,0.6842105263157895
svm,wrist_acc,S7,0.46875,0.40350877192982454,1.0,0.575
svm,wrist_acc,S8,0.4696969696969697,0.3684210526315789,0.56,0.4444444444444444
svm,wrist_acc,S9,0.890625,0.9444444444444444,0.7391304347826086,0.8292682926829268
svm,wrist_acc,S10,0.835820895522388,0.8260869565217391,0.7307692307692307,0.7755102040816326
svm,wrist_acc,S11,0.8805970149253731,0.84,0.84,0.84
svm,wrist_acc,S13,0.9242424242424242,0.8275862068965517,1.0,0.9056603773584906
svm,wrist_acc,S14,0.765625,0.7647058823529411,0.5416666666666666,0.6341463414634146
svm,wrist_acc,S15,0.7878787878787878,0.9230769230769231,0.48,0.631578947368421
svm,wrist_acc,S16,0.9076923076923077,0.875,0.875,0.875
svm,wrist_acc,S17,0.8059701492537313,0.782608695652174,0.6923076923076923,0.7346938775510204
svm,wrist_eda,S2,0.8412698412698413,0.696969696969697,1.0,0.8214285714285714
svm,wrist_eda,S3,0.640625,0.5161290322580645,0.6666666666666666,0.5818181818181818
svm,wrist_eda,S4,0.9841269841269841,0.9583333333333334,1.0,0.9787234042553191
svm,wrist_eda,S5,0.859375,0.7333333333333333,0.9565217391304348,0.8301886792452831
svm,wrist_eda,S6,0.6923076923076923,0.5588235294117647,0.7916666666666666,0.6551724137931034
svm,wrist_eda,S7,0.796875,0.7083333333333334,0.7391304347826086,0.723404255319149
svm,wrist_eda,S8,0.8484848484848485,0.8947368421052632,0.68,0.7727272727272727
svm,wrist_eda,S9,0.796875,0.8125,0.5652173913043478,0.6666666666666666
